car_id,condition,mileage(kilometers),fuel_type,volume(cm3),color,transmission,drive_unit,segment,model,company,year,Price Category
0,2,319999.0,2,2200,4,1,1,3,138,5,1986,0
1,2,53000.0,2,1600,1,1,1,2,729,77,2016,2
2,2,350000.0,2,2000,1,1,1,3,689,58,1992,0
3,2,299709.0,2,1400,11,1,1,7,300,60,1997,0
4,2,110000.0,2,1800,10,1,1,7,998,60,2007,2
5,2,182000.0,2,4700,2,0,0,8,814,52,2011,1
6,2,300000.0,2,1800,3,1,1,3,927,60,1998,2
7,2,273000.0,2,2500,4,1,3,4,117,7,1998,2
8,2,320000.0,2,2000,3,1,1,4,120,61,1996,0
9,2,306500.0,2,1500,5,1,1,2,83,51,1998,0
10,2,233248.0,0,1900,11,1,1,7,660,61,2003,2
11,2,93000.0,2,1600,3,0,1,6,520,58,2013,1
12,2,282200.0,2,2600,1,1,1,4,159,5,1996,2
13,2,200.0,0,2700,0,0,1,4,160,5,2009,1
14,2,0.0,0,1900,0,1,1,2,451,88,1992,0
15,2,355000.0,0,2500,1,1,1,7,899,88,2002,2
16,2,350000.0,0,2000,10,1,1,3,96,61,2001,2
17,2,94700.0,2,1600,10,0,1,1,164,34,2013,2
18,2,410200.0,2,2000,11,1,1,3,662,88,1993,0
19,2,9999.0,2,1300,10,1,1,3,189,60,1988,0
20,2,135000.0,2,2400,2,0,2,6,778,34,2011,1
21,2,252000.0,0,1500,4,1,1,3,542,68,2011,2
22,2,300000.0,2,1500,5,1,3,1,35,43,1999,0
23,2,300000.0,2,1800,11,1,3,3,90,7,1987,0
24,2,440000.0,2,4000,0,1,1,5,130,7,1994,2
25,2,215000.0,0,2200,0,1,1,7,312,85,2006,2
26,2,2457200.0,2,1600,7,1,1,2,451,88,1999,2
27,2,95000.0,2,1500,10,0,1,3,581,14,2016,1
28,2,110000.0,2,1500,0,1,1,3,602,28,2008,0
29,2,340000.0,0,2200,0,1,3,3,283,52,1997,2
30,2,180000.0,2,1400,9,1,1,1,499,75,2010,2
31,2,380000.0,2,1800,0,1,3,3,90,7,1996,0
32,2,320000.0,2,1800,5,1,1,3,96,61,1996,2
33,2,287000.0,2,2000,9,1,1,7,431,25,1998,2
34,2,111.0,0,2500,11,1,1,7,899,88,1997,2
35,2,190000.0,0,2000,2,0,1,3,156,5,2009,1
36,2,230000.0,0,3000,4,0,0,6,705,5,2008,1
37,2,250000.0,2,1400,10,1,1,2,311,85,2008,2
38,2,258620.0,0,2200,0,0,3,7,939,52,2010,1
39,2,365000.0,2,1800,7,1,1,3,662,88,1990,0
40,2,240000.0,2,1600,10,0,1,2,224,88,2005,2
41,2,128000.0,2,1800,0,1,1,2,405,25,2010,2
42,2,300000.0,2,1600,10,1,1,2,380,25,1998,0
43,2,390000.0,0,3000,10,1,3,4,360,52,1991,2
44,2,300000.0,0,1900,7,1,1,1,698,24,2000,0
45,2,220000.0,2,3000,11,0,1,3,118,51,2005,2
46,2,320000.0,2,1800,5,1,1,2,451,88,1997,2
47,2,187000.0,0,1461,0,1,1,7,785,68,2015,2
48,2,200000.0,2,1800,4,1,1,2,405,25,2008,2
49,2,239000.0,2,1600,9,1,1,3,689,58,1998,0
50,2,213284.0,2,1800,0,1,3,3,283,52,1996,0
51,2,300000.0,0,3200,10,0,2,6,654,56,2008,1
52,2,327000.0,2,1600,1,1,1,2,191,60,1998,0
53,2,118.0,2,1600,11,0,0,6,379,25,2012,1
54,2,302000.0,2,1600,10,1,1,2,84,51,1995,0
55,2,265000.0,0,1600,9,1,1,2,642,77,2009,2
56,2,255000.0,2,1800,10,1,1,2,583,24,1997,0
57,2,45000.0,2,1600,0,1,1,1,568,68,2017,2
58,2,100.0,2,1300,7,1,3,1,32,43,1982,0
59,2,242000.0,0,3000,0,0,3,5,130,7,2010,1
60,2,337500.0,2,1800,5,1,1,3,662,88,1997,2
61,2,248000.0,0,2500,10,1,1,4,159,5,2001,2
62,2,217565.0,2,1800,7,0,1,0,103,70,2005,2
63,2,532794.0,0,2200,11,1,3,4,360,52,1995,2
64,1,326.0,0,1800,10,1,1,3,613,25,1997,0
65,2,150000.0,2,6300,0,0,3,8,815,52,2009,1
66,2,355000.0,0,2200,0,1,1,7,134,61,2004,2
67,2,330000.0,0,2000,0,1,3,4,117,7,2000,2
68,2,225000.0,2,2400,1,0,1,6,778,34,2004,2
69,2,175.0,2,1595,10,1,1,2,642,77,2009,2
70,2,100000.0,2,1400,9,1,1,2,269,42,2012,2
71,2,390000.0,2,1600,4,1,3,3,90,7,1994,2
72,2,139000.0,2,1800,10,1,1,7,998,60,2010,2
73,2,64000.0,2,1400,1,1,1,1,568,17,2007,2
74,2,330000.0,0,1900,1,1,1,3,156,5,2002,2
75,2,152000.0,0,2200,0,0,2,6,778,34,2014,1
76,0,200000.0,0,2000,11,1,1,2,221,58,1986,0
77,2,184000.0,0,2000,10,1,1,3,662,88,2007,2
78,2,300000.0,2,1300,1,1,1,7,991,85,1999,2
79,2,300000.0,0,2000,10,1,1,3,118,51,2003,2
80,2,232000.0,2,1800,10,1,1,2,543,56,2008,2
